,variable,zone,basin,count,mean,std,min,25%,50%,75%,max
0,groundwater recharge,Recharge,Blanco,86.0,45.06022220394585,35.744185645803846,7.787138584247257,21.08225324027916,35.32274551345962,56.44037325523429,217.41216101694914
1,groundwater recharge,Recharge,Cibolo,86.0,144.25189506615706,124.32972801166447,2.8808083585372555,44.098301312895245,103.05699065163597,208.07325835166344,586.3322346714324
2,groundwater recharge,Recharge,Frio,86.0,107.26883385739654,88.94953362241957,3.2524390243902435,44.8098982372435,89.7262743902439,142.6442317073171,454.4625304878048
3,groundwater recharge,Recharge,Guad,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,groundwater recharge,Recharge,MedCib,86.0,122.25560606937208,114.7893189719745,0.7877734333527178,35.905558002596436,86.09861600519287,156.9752503709199,513.4155183605341
5,groundwater recharge,Recharge,Medina,86.0,37.884289934821616,14.665165577059113,3.8826389780459616,27.44276744447297,37.559182019514694,49.877847766080365,63.589677750674014
6,groundwater recharge,Recharge,Nueces,86.0,35.023803146008866,29.483893625915357,2.3139830508474573,15.753984833334806,27.48275463088221,43.63660805084746,129.67624885355724
7,groundwater recharge,Recharge,SabMed,86.0,183.09684591665126,180.89023301752727,3.352092755307949,46.455263157894734,127.4202697368421,264.88356578947366,946.0113026315789
8,groundwater recharge,Recharge,Sabinal,86.0,79.68387023981312,76.74904296290282,1.0685751616831074,32.01034217016029,61.10994143033292,109.82035295930949,438.17740443896423
9,pet,Recharge,Blanco,126.0,1066.8251844785457,51.53270239968748,943.3625987656045,1031.9554348147046,1062.8295340475238,1097.4593806870375,1225.920897067188
10,pet,Recharge,Cibolo,126.0,1055.7886286752766,48.36500127912318,934.3212959579841,1026.3174506076557,1053.2525311825834,1087.1059573679254,1198.2170903000665
11,pet,Recharge,Frio,126.0,1028.633882341311,45.28115885869253,901.3191415095155,996.5782342538106,1023.3494223361809,1057.4259299845785,1150.9040795569065
12,pet,Recharge,Guad,126.0,1058.983052631994,48.69294743275511,938.277807779381,1025.9708216768101,1055.8667785435377,1089.7275900567397,1208.0284905066837
13,pet,Recharge,MedCib,126.0,1058.1703206102181,49.05431389510896,931.3676627436579,1029.1007279527335,1057.9509214066065,1091.515349672059,1209.2258244914349
14,pet,Recharge,Medina,126.0,1067.8781264993968,52.25372657384986,940.1537666667982,1036.4978311460575,1063.9958791818344,1105.058104078441,1211.6214877752163
15,pet,Recharge,Nueces,126.0,1085.4382403590764,52.75920036266973,923.2081067120116,1050.563038110419,1082.783378250617,1117.9341169470813,1221.4715321036965
16,pet,Recharge,SabMed,126.0,1063.440711586325,52.333347080588275,933.7063594913317,1029.953124494631,1059.0030007287028,1100.9279951011747,1201.7959632920147
17,pet,Recharge,Sabinal,126.0,1036.9719956779095,47.272408410363795,911.8860325519988,1005.6621516005898,1031.6711183307239,1072.1249087555616,1163.2663162450572
18,prec,Recharge,Blanco,126.0,855.6427549996752,237.72076645264048,344.89472495019436,667.5621627102125,832.7291749000549,1015.1228425090726,1487.0338469326496
19,prec,Recharge,Cibolo,126.0,821.2791145745045,235.90196192605225,320.20547859953797,662.885723621949,782.4041080526683,974.7827446642129,1437.2740625713182
20,prec,Recharge,Frio,126.0,686.7913561444469,191.905694848279,250.61636342514646,549.2058525881306,662.4898067658598,799.3930054144425,1200.2879545905373
21,prec,Recharge,Guad,126.0,842.6965753434633,241.96073555641968,324.15661522516837,663.7437018493835,823.6460577238065,998.2219703335029,1464.2234175021833
22,prec,Recharge,MedCib,126.0,801.9812793678217,233.55026226334238,331.05502111588913,640.2652614728237,769.6572501336534,930.5771041698754,1394.6276241540909
23,prec,Recharge,Medina,126.0,746.3443710453356,216.52609820896083,316.7770000427,597.7223384856217,708.0188875621366,870.5819845372631,1355.6539050129152
24,prec,Recharge,Nueces,126.0,603.0858205249014,177.1926089280632,205.92182173327006,481.22402765035423,581.4592736172474,709.2303903605024,1064.8976435465356
25,prec,Recharge,SabMed,126.0,723.5142239128118,208.00171634966912,297.51088809084007,560.4815539175783,691.7190358843222,844.4752947312815,1336.8640715612305
26,prec,Recharge,Sabinal,126.0,697.962321138139,196.36161998576287,259.3589998582999,548.2725849201282,668.2147715836763,817.7160544594128,1230.7157520453136
27,tmean,Recharge,Blanco,126.0,19.74957504089153,0.6247962485885373,18.34068628748258,19.366828527798255,19.685289497673512,20.163537434736888,21.412471842765807
28,tmean,Recharge,Cibolo,126.0,19.696030032176765,0.6192852098680303,18.252377671608027,19.325360491223957,19.631250048893087,20.186769067377284,21.405941228935685
29,tmean,Recharge,Frio,126.0,19.376856682416246,0.5898968632119698,17.746561420686316,18.93413914988438,19.362487686402872,19.791939401265346,20.618641152526394
30,tmean,Recharge,Guad,126.0,19.709308806035043,0.6151111104943359,18.396020086147846,19.309513743107136,19.640191650543457,20.155402382214863,21.348568338614243
31,tmean,Recharge,MedCib,126.0,19.752856362663614,0.6157582879956651,18.225440106458134,19.373010476430256,19.68679000561436,20.185800445576508,21.366961045397655
32,tmean,Recharge,Medina,126.0,19.88277411014274,0.6280417738447618,18.430132553141604,19.507806039625596,19.81751304288064,20.359191845822078,21.346154238588067
33,tmean,Recharge,Nueces,126.0,20.03350405835791,0.6038602316780177,18.00494833079647,19.611629379938726,20.047539200684795,20.464884826037437,21.30724299661645
34,tmean,Recharge,SabMed,126.0,19.813142156299598,0.6315114869150359,18.405713826049993,19.410449241782413,19.758795661690794,20.281929987816163,21.15720781132027
35,tmean,Recharge,Sabinal,126.0,19.48254185566116,0.6067400900147358,17.955584161811405,19.01287593982286,19.434303029543823,19.906826441072756,20.77383782962958
